ORIGIN,TOTAL_FLIGHTS,TOTAL_CANCELLED,TOTAL_ARRIVED,DELAYED_FLIGHTS_W,ARR_DELAY_MIN_W,CANCEL_RATE,DELAY_RATE,AVG_ARR_DELAY_MIN
BHM,15928,172.0,15706.0,2572.0,214330.0,0.010798593671521849,0.16375907296574557,13.646377180695275
BIH,257,14.0,241.0,49.0,7421.0,0.054474708171206226,0.2033195020746888,30.79253112033195
BIL,3481,44.0,3432.0,557.0,49687.0,0.012640045963803505,0.1622960372960373,14.477564102564102
BIS,3497,54.0,3438.0,552.0,56178.0,0.015441807263368601,0.16055846422338568,16.340314136125656
BJI,711,16.0,695.0,75.0,7399.0,0.02250351617440225,0.1079136690647482,10.646043165467626
BLI,2625,10.0,2610.0,386.0,28086.0,0.0038095238095238095,0.1478927203065134,10.760919540229885
BLV,984,8.0,975.0,239.0,23897.0,0.008130081300813009,0.24512820512820513,24.50974358974359
BMI,1782,14.0,1765.0,290.0,25457.0,0.007856341189674524,0.1643059490084986,14.423229461756375
BNA,96489,1133.0,95152.0,18499.0,1347014.0,0.011742271139715408,0.19441525138725407,14.156444425760888
BOI,21134,126.0,20974.0,2992.0,240474.0,0.005961957036055645,0.1426528082387718,11.465338037570325
BOS,140517,2534.0,137555.0,30187.0,2443724.0,0.018033405210757417,0.2194540365671913,17.765432009014575
BPT,727,38.0,686.0,109.0,13549.0,0.052269601100412656,0.1588921282798834,19.750728862973762
BQK,728,3.0,725.0,107.0,13719.0,0.004120879120879121,0.14758620689655172,18.922758620689656
BQN,2898,63.0,2829.0,923.0,79244.0,0.021739130434782608,0.3262636974195829,28.011311417462
BRD,622,11.0,610.0,66.0,5827.0,0.017684887459807074,0.10819672131147541,9.552459016393442
BRO,1345,33.0,1304.0,171.0,17058.0,0.02453531598513011,0.13113496932515337,13.081288343558283
BRW,364,10.0,354.0,123.0,7005.0,0.027472527472527472,0.3474576271186441,19.78813559322034
BTM,674,8.0,666.0,25.0,3628.0,0.011869436201780416,0.03753753753753754,5.4474474474474475
BTR,4337,51.0,4276.0,609.0,59000.0,0.011759280608715702,0.14242282507015902,13.797942001870908
BTV,7812,209.0,7584.0,1317.0,118202.0,0.026753712237583206,0.17365506329113925,15.585706751054852
BUF,20846,445.0,20353.0,3868.0,335218.0,0.021347021011225174,0.19004569350955633,16.470200953176438
BUR,29757,515.0,29161.0,4915.0,314745.0,0.01730685216923749,0.16854703199478757,10.793354137375262
BWI,96271,1022.0,95032.0,23427.0,1490145.0,0.01061586562931724,0.2465169627072986,15.68045500463002
BZN,9542,87.0,9420.0,1881.0,157347.0,0.009117585411863341,0.1996815286624204,16.703503184713377
CAE,6114,91.0,6010.0,829.0,79557.0,0.014883873078181224,0.13793677204658902,13.237437603993344
CAK,3305,31.0,3264.0,532.0,49732.0,0.009379727685325264,0.16299019607843138,15.236519607843137
